iter	Passed	Remaining
0	6	1257
1	11	1187
2	17	1151
3	23	1134
4	30	1180
5	35	1149
6	41	1137
7	47	1134
8	53	1128
9	57	1095
10	62	1070
11	67	1050
12	71	1030
13	76	1019
14	82	1016
15	87	1000
16	92	991
17	96	977
18	102	971
19	106	961
20	111	950
21	118	956
22	123	951
23	128	941
24	132	930
25	137	922
26	142	913
27	147	903
28	152	901
29	156	888
30	160	876
31	164	866
32	170	861
33	174	851
34	179	846
35	183	837
36	188	829
37	193	822
38	197	815
39	202	810
40	207	803
41	213	802
42	218	796
43	222	788
44	226	779
45	230	772
46	234	764
47	238	756
48	243	750
49	248	746
50	252	737
51	256	730
52	260	723
53	265	716
54	268	709
55	272	701
56	277	695
57	285	700
58	298	713
59	306	714
60	312	711
61	314	700
62	320	696
63	329	700
64	331	689
65	338	686
66	344	684
67	350	681
68	360	683
69	368	683
70	376	684
71	383	682
72	393	684
73	398	679
74	405	676
75	411	671
76	417	667
77	423	663
78	430	658
79	435	653
80	441	647
81	447	643
82	453	639
83	459	634
84	465	629
85	471	624
86	476	618
87	482	613
88	488	609
89	494	604
90	500	599
91	506	594
92	512	589
93	518	585
94	525	580
95	530	575
96	536	569
97	542	564
98	552	563
99	562	562
100	572	560
101	577	554
102	586	552
103	591	545
104	596	539
105	601	533
106	606	527
107	610	520
108	614	513
109	618	506
110	623	499
111	627	492
112	631	485
113	635	479
114	639	472
115	643	465
116	647	459
117	651	452
118	655	446
119	659	439
120	664	433
121	668	427
122	672	420
123	676	414
124	680	408
125	684	401
126	688	395
127	692	389
128	697	383
129	701	377
130	705	371
131	709	365
132	714	359
133	718	353
134	722	347
135	726	341
136	730	336
137	735	330
138	740	325
139	745	319
140	750	313
141	754	308
142	759	302
143	764	297
144	770	292
145	774	286
146	778	280
147	783	275
148	788	269
149	792	264
150	796	258
151	800	252
152	804	247
153	808	241
154	812	236
155	817	230
156	821	224
157	825	219
158	829	213
159	833	208
160	837	202
161	841	197
162	845	191
163	849	186
164	853	181
165	858	175
166	862	170
167	866	165
168	870	159
169	874	154
170	878	149
171	882	143
172	886	138
173	890	133
174	894	127
175	898	122
176	903	117
177	907	112
178	912	107
179	917	101
180	922	96
181	927	91
182	932	86
183	939	81
184	951	77
185	957	72
186	964	67
187	968	61
188	973	56
189	979	51
190	984	46
191	990	41
192	995	36
193	999	30
194	1004	25
195	1009	20
196	1012	15
197	1017	10
198	1023	5
199	1027	0
